Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
1985,1,,FrRnd,1,Brewers,Y,"$150,000 ",B.J. Surhoff (minors),SS,34.4,2313,8258,188,0.282,0.745,,,,,,,4Yr,University of North Carolina at Chapel Hill (Chapel Hill NC),surhob.01
1984,1,,FrRnd,1,Mets,Y,"$150,500 ",Shawn Abner (minors),OF,-1.3,392,840,11,0.227,0.591,,,,,,,HS,Mechanicsburg Area HS (Mechanicsburg PA),abnersh01
1983,1,,FrRnd,1,Twins,N,,Tim Belcher (minors),RHP,26,201,388,2,0.124,0.3,394,146,140,4.16,1.34,5,4Yr,Mount Vernon Nazarene University (Mount Vernon OH),belchti01
1982,1,,FrRnd,1,Cubs,Y,"$135,000 ",Shawon Dunston (minors),SS,11.6,1814,5927,150,0.269,0.712,,,,,,,HS,Thomas Jefferson HS (Brooklyn NY),dunstsh01
1981,1,,FrRnd,1,Mariners,Y,"$100,000 ",Mike Moore (minors),RHP,27.9,4,1,0,0,0,450,161,176,4.39,1.42,2,4Yr,Oral Roberts University (Tulsa OK),mooremi01
1980,1,,FrRnd,1,Mets,Y,"$152,500 ",Darryl Strawberry (minors),OF,42.1,1583,5418,335,0.259,0.862,,,,,,,HS,Crenshaw HS (Los Angeles CA),strawda01
1979,1,,FrRnd,1,Mariners,Y,"$60,000 ",Al Chambers (minors),OF,-0.4,57,120,2,0.208,0.618,,,,,,,HS,John Harris HS (Harrisburg PA),chambal01
1978,1,,FrRnd,1,Braves,Y,"$162,000 ",Bob Horner (minors),3B,21.9,1020,3777,218,0.277,0.839,,,,,,,4Yr,Arizona State University (Tempe AZ),hornebo01
1977,1,,FrRnd,1,White Sox,Y,"$32,000 ",Harold Baines (minors),1B,38.8,2830,9908,384,0.289,0.82,,,,,,,HS,St. Michaels HS (St. Michaels MD),baineha01
1976,1,,FrRnd,1,Astros,Y,"$100,000 ",Floyd Bannister (minors),LHP,26.4,55,80,0,0.175,0.383,431,134,143,4.06,1.33,0,4Yr,Arizona State University (Tempe AZ),bannifl01
1975,1,,FrRnd,1,Angels,Y,"$125,000 ",Danny Goodwin (minors),C,-1.7,252,636,13,0.236,0.674,,,,,,,4Yr,Southern University and A&M College (Baton Rouge LA),goodwda01
1974,1,,FrRnd,1,Padres,Y,"$90,000 ",Bill Almon (minors),SS,4.7,1236,3330,36,0.254,0.648,,,,,,,4Yr,Brown University (Providence RI),almonbi01
1973,1,,FrRnd,1,Rangers,Y,"$65,000 ",David Clyde (minors),LHP,0.6,1,0,0,,,84,18,33,4.63,1.53,0,HS,Westchester HS (Houston TX),clydeda01
1972,1,,FrRnd,1,Padres,Y,"$70,000 ",Dave Roberts (minors),3B,0.3,709,2017,49,0.24,0.644,,,,,,,4Yr,University of Oregon (Eugene OR),roberda06
1971,1,,FrRnd,1,White Sox,N,,Danny Goodwin (minors),C,-1.7,252,636,13,0.236,0.674,,,,,,,HS,Peoria HS (Peoria IL),goodwda01
1970,1,,FrRnd,1,Padres,Y,"$75,000 ",Mike Ivie (minors),C,7.2,857,2694,81,0.269,0.744,,,,,,,HS,Walker HS (Atlanta GA),iviemi01
1969,1,,FrRnd,1,Senators,Y,"$88,000 ",Jeff Burroughs (minors),OF,17.7,1689,5536,240,0.261,0.795,,,,,,,HS,Woodrow Wilson HS (Long Beach CA),burroje01
1968,1,,FrRnd,1,Mets,Y,"$74,000 ",Tim Foli (minors),SS,5.7,1696,6047,25,0.251,0.593,,,,,,,HS,Notre Dame HS (Sherman Oaks CA),foliti01
1967,1,,FrRnd,1,Yankees,Y,"$65,000 ",Ron Blomberg (minors),1B,9.4,461,1333,52,0.293,0.832,,,,,,,HS,Druid Hills HS (Atlanta GA),blombro01
1966,1,,FrRnd,1,Mets,Y,"$75,000 ",Steven Chilcott (minors),C,,,,,,,,,,,,,HS,Antelope Valley HS (Lancaster CA),-9999
1965,1,,FrRnd,1,Athletics,Y,"$100,000 ",Rick Monday (minors),OF,33.1,1986,6136,241,0.264,0.804,,,,,,,4Yr,Arizona State University (Tempe AZ),mondari01
